anime_id,title,title_english
38659,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,Cautious Hero: The Hero Is Overpowered but Overly Cautious
23281,Psycho-Pass 2,Psycho-Pass 2
263,Hajime no Ippo,Fighting Spirit
28977,Gintama°,Gintama Season 4
40540,Sword Art Online: Alicization - War of Underworld 2nd Season,Sword Art Online: Alicization - War of Underworld Part 2
39534,Jibaku Shounen Hanako-kun,Toilet-Bound Hanako-kun
19163,Date A Live II,Date A Live II
3455,To LOVE-Ru,To Love Ru
527,Pokemon,Pokémon
40454,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,Is It Wrong to Try to Pick Up Girls in a Dungeon? III
225,Dragon Ball GT,Dragon Ball GT
54112,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,Zom 100: Bucket List of the Dead
9041,IS: Infinite Stratos,Infinite Stratos
53887,Spy x Family Season 2,
47194,Summertime Render,Summer Time Rendering
28497,Rokka no Yuusha,Rokka: Braves of the Six Flowers
36475,Sword Art Online Alternative: Gun Gale Online,
40938,Hige wo Soru. Soshite Joshikousei wo Hirou.,"Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway"
18277,Strike the Blood,Strike the Blood
39940,Shokugeki no Souma: Shin no Sara,Food Wars! The Fourth Plate
16870,The Last: Naruto the Movie,Naruto Shippuden the Movie 7: The Last
6347,Baka to Test to Shoukanjuu,Baka & Test: Summon the Beasts
8525,Kami nomi zo Shiru Sekai,The World God Only Knows
512,Majo no Takkyuubin,Kiki's Delivery Service
11499,Sankarea,Sankarea: Undying Love
36407,Kenja no Mago,Wise Man's Grandchild
7674,Bakuman.,Bakuman.
17729,Grisaia no Kajitsu,The Fruit of Grisaia
8841,Kore wa Zombie desu ka?,Is This a Zombie?
2890,Gake no Ue no Ponyo,Ponyo
2034,Lovely★Complex,Lovely Complex
7311,Suzumiya Haruhi no Shoushitsu,The Disappearance of Haruhi Suzumiya
6213,Toaru Kagaku no Railgun,A Certain Scientific Railgun
136,Hunter x Hunter,Hunter x Hunter
23321,Log Horizon 2nd Season,Log Horizon 2
7724,Shiki,Shiki
40750,Kaifuku Jutsushi no Yarinaoshi,Redo of Healer
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Steins;Gate: The Movie - Load Region of Déjà Vu
48569,86 Part 2,86 Eighty-Six Part 2
35860,Karakai Jouzu no Takagi-san,Teasing Master Takagi-san
16067,Nagi no Asu kara,A Lull in the Sea
